,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Totals,Totals.1,Totals.2,Totals.3,Totals.4,Totals.5,Totals.6,Totals.7,Totals.8,Totals.9,Totals.10,Totals.11,Totals.12,Totals.13,Totals.14,Totals.15,Shooting,Shooting.1,Shooting.2,Per Game,Per Game.1,Per Game.2,Per Game.3
1,1,David Andersen,"Oct 27, '09, HOU @ POR",29,1,63,891,147,340,27,78,46,67,54,208,44,15,12,37,119,367,.432,.346,.687,14.1,5.8,3.3,0.7
2,2,Antonio Anderson,"Mar 3, '10, OKC @ DEN",24,1,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,.333,,,15.0,2.0,1.0,0.0
3,3,Jeff Ayres,"Dec 22, '09, POR @ DAL",22,1,39,405,43,65,0,0,18,20,25,98,1,7,16,12,76,104,.662,,.900,10.4,2.7,2.5,0.0
4,4,Rodrigue Beaubois,"Oct 30, '09, DAL @ LAL",21,1,56,700,155,299,45,110,42,52,12,78,74,29,12,54,84,397,.518,.409,.808,12.5,7.1,1.4,1.3
5,5,DeJuan Blair,"Oct 28, '09, SAS vs. NOH",20,1,82,1494,275,495,0,2,88,161,200,526,65,50,39,112,224,638,.556,.000,.547,18.2,7.8,6.4,0.8
6,6,Jon Brockman,"Oct 28, '09, SAC @ OKC",22,1,52,654,55,103,0,0,37,62,105,213,22,15,5,23,115,147,.534,,.597,12.6,2.8,4.1,0.4
7,7,Derrick Brown,"Oct 28, '09, CHA @ BOS",22,1,57,535,68,147,2,7,48,72,31,78,19,21,10,19,53,186,.463,.286,.667,9.4,3.3,1.4,0.3
8,8,Chase Budinger,"Oct 27, '09, HOU @ POR",21,1,74,1488,249,565,92,249,67,87,38,220,88,34,11,48,85,657,.441,.369,.770,20.1,8.9,3.0,1.2
9,9,DeMarre Carroll,"Oct 28, '09, MEM vs. DET",23,1,71,795,88,222,0,6,33,53,53,150,33,28,9,24,107,209,.396,.000,.623,11.2,2.9,2.1,0.5
10,10,Omri Casspi,"Oct 28, '09, SAC @ OKC",21,1,77,1931,300,672,75,203,117,174,75,349,95,54,17,98,125,792,.446,.369,.672,25.1,10.3,4.5,1.2
11,11,Earl Clark,"Oct 28, '09, PHO @ LAC",22,1,51,383,56,151,2,5,26,36,18,62,21,7,13,23,25,140,.371,.400,.722,7.5,2.7,1.2,0.4
12,12,Darren Collison,"Oct 28, '09, NOH @ SAS",22,1,76,2109,376,789,46,115,148,174,41,192,432,78,4,202,92,946,.477,.400,.851,27.8,12.4,2.5,5.7
